StyleID;text;rating
1709054;Die sind okay und dann fŸr den Preis. ;5
1709054;QualitŠt und Preis sind gut. Leider sind sie zu gro§.  Die Grš§en fallen immer unterschiedlich aus, soda§ es bei dem einen Shirt pa§t und bei dem anderen nicht. Schade;3
8623725;lŠsst schlanker aussehen;5
8623725;Material und Farbe gut. Da einige Kundinnen in der Bewertung Ÿber relative Enge geklagt hatten, wŠhlte ich eine Konfektionsgrš§e hšher(44). Leider war der Badeanzug um den Po herum zu weit, kein schšner Abschluss. Ich habe ihn zurŸck geschickt.;3
9743730;Material ist schšn zum verdunkel.  Leider doch zu kurz fŸr mein Fenster. Schade.;5
1709054;Tolle QualitŠt , immer wieder gerne;5
655046;der BH gefŠllt mir sehr gut beim joggen rutschen keine TrŠger runter, super!!;5
553018;Sehr bequem ;5
434886;Material gut Farbe und aussehen der Hose auch;4
654563;Trage doch lieber ohne BŸgel. Bin auch der Meinung das die BH etwas klein ausfallen.;3
709229;Angenehmer Stoff. FŸllt sich gut auf der Haut an. ;5
553018;Sehr sch›ne Farbe und gute QualitŠt ;5
709229;Schnitt nicht vorteilhaft darum zurŸck ;2
9743730;Der Vorhang entspricht voll und ganz meinen Vorstellungen. Er fŠllt schšn und wirkt in beige sehr edel. Die Verdunklung funktioniert sehr gut, so das fŸr mich der etwas hohe Preis gerechtfertigt ist.;5
515928;Hatte ich passend zum BH gekauft. Ganz furchtbar: viel zu eng, viel zu klein. Habe ich so bei bonprix noch nicht erlebt.;1
515928;Sehr zufrieden;5
515928;Sehr schšner und bequemer Slip fŸr das Geld. Mit dem passenden BH eine sehr schšne Garnitur. WŸrde ich wieder kaufen.;5
709229;Bon Brix hat immer das passende fŸr mich,das finde ich einfach genial.;5
655046;Material und Farbe super;4
655046;Material und Farbe super;4
515928;Material, Grš§e (Pa§form), Bezahlmšglichkeiten, Lieferung, alles sehr gut. Angenehmes Material;5
1709054;Material, Grš§e (Pa§form), Farbkombinationen, Bezahlmšglichkeiten, Lieferung, alles sehr gut. Angenehmes Material;5
515928;gutes elastisches Material , passt sehr gut;5
655046;Sehr gute QualitŠt ;5
8623725;Material und Form richtig gut ... vertuscht auch ein paar kg zu viel ;5
515928;Passend zum BH gekauft, sitz gut auch nach  mehrmaligen Waschen.;5
8623725;WŠre schšn aber Material zu dick und zu fest fŸhle ich mich nicht wohl.;3
654563;Gut;3
654563;BŸgel BH waren von der QualitŠt und Farbe sehr schšn .Gingen leider zurŸck Kšrbchen zu klein.Ansonsten alles OK.;4
8623725;War mir in 44 zu klein, ziemlich eng geschnitten.;4
515928;Nicht anprobiert, da mir der BH den ich dazu bestellte nicht passte.;4
655046;hab ihn mir besser vorgestellt;2
654563;Das Material war nicht so schšn,deshalb sa§ er nicht so wie gewohnt. Aber der Preis war super.;3
709229;Sehr schšnes Material, optimal fŸr heisse Tage.;5
434886;Gute QualitŠt.  Gute passform. Mein Mann ist begeistert. ;5
553018;Sehr schlechte QualitŠt, dŸnnes Material, schlechte Sohle.... Wer sich seine FŸ§e nicht platt laufen will, lŠsst besser die Finger davon!;1
709229;sah wider Erwarten langweilig aus und eher wie ein Nachthemd!!;2
553018;FŸr schmale FŸ§e nicht geeignet, da der Fu§ sehr unschmeichelhaft zur Geltung kommt. Schicke das Paar wieder zurŸck. ;2
9743730;QualitŠt der Ware ist gut, man kšnnte noch dazuschreiben das man das Kreuselband noch besorgen muss, ich dachte man kann den Vorhang direkt aufhŠngen. Recht lange Wartezeit von 3 Wochen.;4
9743730;gut weich flie§ende QualitŠt. schšnes silbergrau. Solide verarbeitet.;5
9743730;"hab mir die gardinen einmal in allen farben bestellt und in 4 facher ausfŸhrung... das orange ist wirklich eher ein ausgewaschens ""dreck orange"" und grŸn kam 3 mal in einer schšnen farbe und einmal ganz andere qualitŠt und ausgewaschens grŸn...  an sich scheint die qualitŠt aber zu passen, hat sich super angefŸhlt und macht dunkel";3
44970574;PreisleistungsvethŠltnis TOP, Farbe super, QualitŠt všllig okay...;4
